Rider,Number,Bike,"Leogang - 2024 Class","Leogang - 2024 Cost","Leogang - 2024 Status","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Sixten Lind",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Soline Besson",,,"Junior Women",15000,,"Junior Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,"Junior Women",10,5
"Sorley Swabey",,"BNC Racing","Junior Men",13000,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Stefan Garlicki",,,"Elite Men",19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stefano Introzzi",,,"Elite Men",30000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Steffen Smets",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steiner Julian",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tahnee Seagrave",,"Canyon Cllctv FMD","Elite Women",165000,,"Elite Women",5,120,"Elite Women",3,180,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",7,80,"Elite Women",7,80,"Elite Women",3,180,,,,,,,"Elite Women",7,80
"Taylor Ostgaard",,,"Elite Women",60000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,"Junior Women",2,50,"Junior Women",6,30,"Junior Women",8,15,"Junior Women",9,10,"Junior Women",6,30,"Junior Women",8,15,"Junior Women",9,10
"Taylor Vernon",,"Zerode Racing","Elite Men",39000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Teagan Heap",,"Pivot Factory Racing","Junior Women",15000,,"Junior Women",DNF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tegan Cruz",,"Kenda NS Bikes UR Team","Elite Men",33000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tetsuma Haguchi",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thibault Laly",,"Goodman Santacruz","Elite Men",34000,,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Thibaut Daprela",,"Canyon Cllctv Factory Team","Elite Men",63000,,"Elite Men",14,63,"Elite Men",N/A,0,,,,,,,,,,,,,"Elite Men",1,250,"Elite Men",3,180,"Elite Men",6,125,"Elite Men",15,60
"Thomas Estaque",,"Commencal ICStudio","Elite Men",38000,,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,"Elite Men",10,75,,,,,,,"Elite Men",16,58,,,,,,
"Till Alran",,"Commencal/Muc-Off by Riding Addiction","Junior Men",46000,,"Junior Men",4,40,"Junior Men",14,14,,,,,,,,,,,,,,,,,,,,,,,,
"Tobias Debin",,,"Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toby Driscoll",,,"Elite Men",16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toby Meek",,"Meekboyz Racing","Elite Men",30000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tommy Walker",,,"Junior Men",8000,,,,,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tristan Lemire",,"Evolve Racing","Elite Men",17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy Brosnan",,"Canyon Cllctv Factory Team","Elite Men",195000,,"Elite Men",13,65,"Elite Men",2,210,"Elite Men",9,80,"Elite Men",13,65,"Elite Men",6,125,"Elite Men",19,52,"Elite Men",15,60,"Elite Men",4,160,"Elite Men",11,71,"Elite Men",7,110
"Troy Weinert",,,"Elite Men",19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuhoto-Ariki Pene",,"MS Intense Racing","Elite Men",38000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",19,52,,,,"Elite Men",19,52,,,,"Elite Men",14,63,,,,,,,"Elite Men",17,56
"Tyler Ervin",,,"Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler Zenoni",,,"Elite Men",12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Chatanay",,,"Elite Men",28000,,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Pohn",,,"Junior Men",12000,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Rohrmoser",,,"Elite Men",28000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentina Roa Sanchez",,"Transition Factory Racing","Elite Women",72000,,"Elite Women",N/A,0,"Elite Women",DNQ,0,"Junior Women",1,60,"Junior Women",3,45,"Junior Women",1,60,"Junior Women",3,45,"Junior Women",2,50,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",2,50
"Vali Holl",,"YT Mob","Elite Women",205000,,"Elite Women",6,90,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",3,180,"Elite Women",10,50,"Elite Women",1,250,"Elite Women",2,210,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",4,150
"Vicky Clavel",,"Scott Downhill Factory","Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Vincent Jouvenal",,"K Bike","Junior Men",20000,,"Junior Men",DNQ,0,"Junior Men",22,4,,,,,,,,,,"Junior Men",10,22,,,,,,,"Junior Men",7,28,,,
"Vladimir Srnensky",,,"Elite Men",25000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Will Haines",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,"Junior Men",10,22,,,
"Will Hynes",,"Forbidden Synthesis Team","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"William Ireland",,"Forbidden Synthesis Team","Junior Men",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"William Pope",,"Forbidden Synthesis Team","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,"Junior Men",8,26,,,
"William Pugh",,,"Junior Men",9000,,,,,"Junior Men",19,7,,,,,,,,,,,,,,,,,,,,,,,,
"Wyatt Stevens-McNab",,,"Junior Men",16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyn Masters",,"The Gravity Cartel-Rogue Racing","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Yuki Kushima",,"Team High Country","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Zac Bradley",,"Team High Country","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Zachary Ford",,"Raw Fusion Racing","Junior Men",11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zali Miklas",,"Team High Country","Junior Women",15000,,"Junior Women",DNS,0,"Junior Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
