Rider,Number,Bike,"Les Gets - 2024 Class","Les Gets - 2024 Cost","Les Gets - 2024 Status","Val di Sole - 2024 Class","Val di Sole - 2024 Position","Val di Sole - 2024 Points","Leogang - 2024 Class","Leogang - 2024 Position","Leogang - 2024 Points","Bielsko-Biala - 2024 Class","Bielsko-Biala - 2024 Position","Bielsko-Biala - 2024 Points","Fort William - 2024 Class","Fort William - 2024 Position","Fort William - 2024 Points","Mont-Sainte-Anne - 2023 Class","Mont-Sainte-Anne - 2023 Position","Mont-Sainte-Anne - 2023 Points","Snowshoe - 2023 Class","Snowshoe - 2023 Position","Snowshoe - 2023 Points","Les Gets - 2023 Class","Les Gets - 2023 Position","Les Gets - 2023 Points","Loudenvielle - 2023 Class","Loudenvielle - 2023 Position","Loudenvielle - 2023 Points","Andorra - 2023 Class","Andorra - 2023 Position","Andorra - 2023 Points","Val di Sole - 2023 Class","Val di Sole - 2023 Position","Val di Sole - 2023 Points","Leogang - 2023 Class","Leogang - 2023 Position","Leogang - 2023 Points","Lenzerheide - 2023 Class","Lenzerheide - 2023 Position","Lenzerheide - 2023 Points"
"Oriol Llaudo Crespo",,"Pureriding BP Racing","Junior Men",15000,,,,,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Oscar Griffiths",,"Intense Factory Racing","Junior Men",17000,,"Junior Men",DNQ,0,"Junior Men",DSQ,0,"Junior Men",11,20,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Pascal Reusser",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pau Menoyo Busquets",,"Commencal / Schwalbe","Elite Men",37000,,"Elite Men",DNS,0,"Elite Men",DNS,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Pedro Camara",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pedro Fernandes",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phil Atwill",,"Propain Positive","Elite Men",39000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",14,63,,,,,,,,,,,,,,,,,,,"Elite Men",16,58
"Phoebe Gale",,"Canyon Cllctv FMD","Elite Women",87000,,"Elite Women",7,80,"Elite Women",N/A,0,"Elite Women",8,70,"Elite Women",7,80,"Elite Women",7,80,,,,,,,"Elite Women",4,150,"Elite Women",9,60,,,,"Elite Women",5,120,,,
"Pierre Ollier",,,"Junior Men",15000,,"Junior Men",DNS,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Pieter Venter",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Preston Williams",,"The Alliance","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Quentin Jaud",,,"Junior Men",8000,,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quentin Nickles",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rafael Pelletier",,"Muc-Off Young Guns","Junior Men",26000,,"Junior Men",7,28,"Junior Men",8,26,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,"Junior Men",5,35,,,,,,,"Junior Men",5,35,"Junior Men",8,26
"Rafael Sousa",,,"Elite Men",10000,,,,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Raphael Giambi",,Gen-S,"Junior Men",30000,,"Junior Men",11,20,"Junior Men",7,28,"Junior Men",5,35,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Raphael Iniguez",,"Commencal ICStudio","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Rebecca Baraona",,,"Elite Women",40000,Out,"Elite Women",DNQ,0,,,,,,,"Elite Women",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Reece Wilson",,"Trek Factory Racing Gravity","Elite Men",109000,Out,"Elite Men",DNS,0,"Elite Men",26,38,"Elite Men",N/A,0,"Elite Men",16,58,,,,,,,,,,,,,,,,,,,,,,,,
"Remi Thirion",,"Giant Factory Off-Road Team","Elite Men",60000,,"Elite Men",20,50,"Elite Men",15,60,"Elite Men",18,54,"Elite Men",18,54,"Elite Men",16,58,"Elite Men",11,71,,,,"Elite Men",5,140,,,,"Elite Men",15,60,,,,,,
"Remy Meier-Smith",,"Giant Factory Off-Road Team","Elite Men",62000,,"Elite Men",DNQ,0,"Elite Men",30,30,"Elite Men",34,30,"Elite Men",17,56,,,,,,,,,,,,,,,,"Elite Men",10,75,"Elite Men",19,52,,,
"Rennie Falconer",,"Raw Fusion Racing","Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Richie Rude",,"Yeti / FOX Factory Race Team","Elite Men",42000,,"Elite Men",22,46,,,,,,,,,,"Elite Men",17,56,,,,,,,,,,,,,,,,,,,,,
"Riko Maeuibo",,,"Junior Men",22000,,"Junior Men",DNQ,0,"Junior Men",16,10,"Junior Men",19,7,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Roee Ostfeld",,"Commencal ICStudio","Junior Men",19000,,"Junior Men",DNQ,0,"Junior Men",11,20,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Roger Vieira",,,"Elite Men",21000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ronan Dunne",,"Mondraker Factory Racing","Elite Men",209000,,"Elite Men",6,125,"Elite Men",12,68,"Elite Men",1,250,"Elite Men",11,71,,,,"Elite Men",2,210,,,,,,,,,,"Elite Men",11,71,"Elite Men",8,95,,,
"Rory Kirk",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Rory Meek",,"Meekboyz Racing","Junior Men",17000,,"Junior Men",DNQ,0,"Junior Men",10,22,"Junior Men",17,9,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Ross Ennis",,,"Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Ross Kew",,,"Elite Men",27000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rudi Eichhorn",,"Canyon Cllctv FMD","Junior Men",16000,,"Junior Men",20,6,"Junior Men",22,4,"Junior Men",22,4,"Junior Men",23,3,,,,,,,,,,,,,,,,,,,,,,,,
"Russell Tschanz",,,"Junior Men",11000,,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Griffith",,"Pivot Factory Racing","Junior Men",28000,,"Junior Men",8,26,"Junior Men",9,24,"Junior Men",8,26,"Junior Men",9,24,,,,"Junior Men",9,24,,,,,,,"Junior Men",7,28,,,,,,,,,
"Ryan Hastings",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",13,16,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Pinkerton",,"Mondraker Factory Racing","Elite Men",57000,,"Elite Men",26,38,"Elite Men",24,42,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,"Junior Men",1,60,"Junior Men",1,60,"Junior Men",1,60,"Junior Men",1,60,"Junior Men",2,50,,,,"Junior Men",5,35
"Ryder Lawrence",,"Intense Factory Racing","Junior Men",27000,,"Junior Men",10,22,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",11,20,,,,,,,,,,,,,,,,,,,,,,,,
"Rye Carlyon",,,"Junior Men",9000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Ryker Kearl",,"Outlaw United","Elite Men",12000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabina Kosarkova",,,"Elite Women",30000,Out,,,,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sacha Earnest",,"Trek Factory Racing Gravity","Junior Women",48000,,"Junior Women",2,50,"Junior Women",10,5,"Junior Women",3,45,"Junior Women",2,50,"Junior Women",2,50,"Junior Women",8,15,"Junior Women",5,35,"Junior Women",1,60,,,,"Junior Women",1,60,,,,,,
"Sacha Mills",,"Scott Downhill Factory","Junior Women",40000,,"Junior Women",DNQ,0,"Junior Women",5,35,"Junior Women",9,10,"Junior Women",6,30,,,,,,,"Junior Women",2,50,"Junior Women",7,25,"Junior Women",5,35,,,,,,,,,
"Sam Blenkinsop",,"Zerode Racing","Elite Men",39000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Sam Conroy",,,"Elite Men",26000,,"Elite Men",DNQ,0,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sam Gale",,,"Elite Men",19000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sam Hatfield",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNS,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Samu Kauppinen",,,"Elite Men",28000,,"Elite Men",DNS,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samuel Zbinden",,"Dorval AM Commencal","Elite Men",35000,,"Elite Men",DNS,0,"Elite Men",DNS,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Sebastian Magdalena Rivera",,,"Junior Men",8000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sebastien Holguin Villa",,"Pureriding BP Racing","Elite Men",31000,,"Elite Men",28,34,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Seth Stylie",,"The Alliance","Junior Men",10000,,"Junior Men",19,7,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sian A'hern",,"YT Mob","Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",N/A,0,"Elite Women",DNQ,0,"Elite Women",N/A,0,,,,"Elite Women",9,60,,,,,,,,,,"Elite Women",10,50,,,,,,
"Siel Van Der Velden",,"Commencal ICStudio","Elite Women",51000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Simen Smestad",,,"Elite Men",30000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Chapelet",,"Cube Factory Racing","Elite Men",47000,,"Elite Men",21,48,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",28,34,,,,,,,,,,,,,,,,"Elite Men",19,52,,,,,,
"Simon Maurer",,,"Elite Men",28000,Out,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sixten Lind",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Socratis Zotos",,"Propain Positive","Elite Men",18000,Out,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soline Besson",,,"Junior Women",15000,,"Junior Women",DNQ,0,"Junior Women",DNQ,0,"Junior Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,"Junior Women",10,5
"Sorley Swabey",,"BNC Racing","Junior Men",13000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Stacey Fisher",,,"Elite Women",20000,,,,,,,,,,,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Stefan Garlicki",,,"Elite Men",19000,,,,,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stefano Introzzi",,,"Elite Men",30000,,"Elite Men",19,52,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tahnee Seagrave",,"Canyon Cllctv FMD","Elite Women",224000,,"Elite Women",1,250,"Elite Women",12,50,"Elite Women",5,120,"Elite Women",3,180,"Elite Women",10,50,"Elite Women",4,150,"Elite Women",7,80,"Elite Women",7,80,"Elite Women",3,180,,,,,,,"Elite Women",7,80
"Taylor Ostgaard",,,"Elite Women",60000,,"Elite Women",DNS,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,"Junior Women",2,50,"Junior Women",6,30,"Junior Women",8,15,"Junior Women",9,10,"Junior Women",6,30,"Junior Women",8,15,"Junior Women",9,10
"Taylor Vernon",,"Zerode Racing","Elite Men",39000,,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Teagan Heap",,"Pivot Factory Racing","Junior Women",19000,,"Junior Women",7,25,"Junior Women",DNQ,0,"Junior Women",DNF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tegan Cruz",,"Kenda NS Bikes UR Team","Elite Men",33000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tetsuma Haguchi",,,"Elite Men",10000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Theo Erlangsen",,,"Elite Men",38000,,"Elite Men",DNQ,0,,,,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thibault Laly",,"Goodman Santacruz","Elite Men",34000,,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Thibaut Daprela",,"Canyon Cllctv Factory Team","Elite Men",129000,,"Elite Men",12,68,"Elite Men",10,75,"Elite Men",14,63,"Elite Men",N/A,0,,,,,,,,,,,,,"Elite Men",1,250,"Elite Men",3,180,"Elite Men",6,125,"Elite Men",15,60
"Thomas Estaque",,"Commencal ICStudio","Elite Men",66000,,"Elite Men",DNF,0,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",N/A,0,,,,,,,"Elite Men",10,75,,,,,,,"Elite Men",16,58,,,,,,
"Tiago Patrocinio",,,"Junior Men",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Till Alran",,"Commencal/Muc-Off by Riding Addiction","Junior Men",22000,,"Junior Men",16,10,"Junior Men",20,6,"Junior Men",4,40,"Junior Men",14,14,,,,,,,,,,,,,,,,,,,,,,,,
"Tobias Debin",,,"Junior Men",8000,Out,,,,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toby Meek",,"Meekboyz Racing","Elite Men",30000,,"Elite Men",30,30,"Elite Men",N/A,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tomas Barreiros",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tomas Bilek-Deville",,,"Junior Men",7000,,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tomasso Campana",,,"Elite Men",28000,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ton Rusinol",,"Pureriding BP Racing","Junior Men",10000,,,,,,,,,,,"Junior Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tristan Botteram",,,"Elite Men",10000,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tristan Lemire",,"Evolve Racing","Elite Men",17000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy Brosnan",,"Canyon Cllctv Factory Team","Elite Men",179000,,"Elite Men",4,160,"Elite Men",9,80,"Elite Men",13,65,"Elite Men",2,210,"Elite Men",9,80,"Elite Men",13,65,"Elite Men",6,125,"Elite Men",19,52,"Elite Men",15,60,"Elite Men",4,160,"Elite Men",11,71,"Elite Men",7,110
"Tsubasa Hara",,,"Junior Women",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuhoto-Ariki Pene",,"MS Intense Racing","Elite Men",38000,,,,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",19,52,,,,"Elite Men",19,52,,,,"Elite Men",14,63,,,,,,,"Elite Men",17,56
"Tyler Ervin",,,"Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",N/A,0,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler Zenoni",,,"Elite Men",12000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Chatanay",,,"Elite Men",28000,Out,,,,"Elite Men",DNQ,0,"Elite Men",DNS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Peries",,,"Junior Men",6000,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentin Pohn",,,"Junior Men",12000,,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valentina Roa Sanchez",,"Transition Factory Racing","Elite Women",69000,,"Elite Women",8,70,"Elite Women",N/A,0,"Elite Women",N/A,0,"Elite Women",DNQ,0,"Junior Women",1,60,"Junior Women",3,45,"Junior Women",1,60,"Junior Women",3,45,"Junior Women",2,50,"Junior Women",4,40,"Junior Women",4,40,"Junior Women",2,50
"Vali Holl",,"YT Mob","Elite Women",229000,,"Elite Women",5,120,"Elite Women",1,250,"Elite Women",6,90,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",3,180,"Elite Women",10,50,"Elite Women",1,250,"Elite Women",2,210,"Elite Women",1,250,"Elite Women",1,250,"Elite Women",4,150
"Veronika Widmann",,"Continental GT Factory Racing","Elite Women",90000,,"Elite Women",DNS,0,"Elite Women",DNS,0,"Elite Women",10,50,"Elite Women",N/A,0,"Elite Women",3,180,"Elite Women",8,70,,,,,,,,,,"Elite Women",9,60,"Elite Women",10,50,,,
"Vicky Clavel",,"Scott Downhill Factory","Elite Women",50000,,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,"Elite Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Vincent Jouvenal",,"K Bike","Junior Men",20000,,"Junior Men",DNQ,0,"Junior Men",23,3,"Junior Men",DNQ,0,"Junior Men",22,4,,,,,,,,,,"Junior Men",10,22,,,,,,,"Junior Men",7,28,,,
"Vincent Tupin",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Will Haines",,,"Junior Men",15000,,"Junior Men",DNQ,0,"Junior Men",14,14,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,"Junior Men",10,22,,,
"Will Hynes",,"Forbidden Synthesis Team","Elite Men",31000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"William Ireland",,"Forbidden Synthesis Team","Junior Men",8000,,"Junior Men",DNS,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"William Pope",,"Forbidden Synthesis Team","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,"Junior Men",8,26,,,
"William Pugh",,,"Junior Men",10000,,"Junior Men",24,2,"Junior Men",DNQ,0,,,,"Junior Men",19,7,,,,,,,,,,,,,,,,,,,,,,,,
"Winni Goldsbury",,,"Junior Women",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wojciech Czermak",,,"Elite Men",28000,,,,,,,,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woody Kefford",,,"Junior Men",15000,,"Junior Men",DNQ,0,,,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Wyatt Stevens-McNab",,,"Junior Men",16000,,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyn Masters",,"The Gravity Cartel-Rogue Racing","Elite Men",30000,,"Elite Men",DNQ,0,"Elite Men",N/A,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Yannick Baechler",,,"Elite Men",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yelco Romero Boulandier",,,"Elite Men",10000,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yuki Kushima",,"Team High Country","Elite Men",33000,,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,"Elite Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Zac Bradley",,"Team High Country","Junior Men",16000,,"Junior Men",14,14,"Junior Men",DNQ,0,"Junior Men",DNQ,0,"Junior Men",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
"Zali Miklas",,"Team High Country","Junior Women",15000,,"Junior Women",DNQ,0,"Junior Women",DNQ,0,"Junior Women",DNS,0,"Junior Women",DNQ,0,,,,,,,,,,,,,,,,,,,,,,,,
